folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Administrative,modified_completed,Date ASQ completed,"",datetime,"","","","","",""
Administrative,modified_created_at,Date ASQ created,"",datetime,"","","","","",""
Administrative,subject_code,STAGES Subject Identifier,"",identifier,"","","","",true,""
Administrative,visitcode,STAGES Visit,"",choices,"",visitcode,"","","",""
Anthropometry,dem_0600,Height in feet,"",integer,feet,"","","","",""
Anthropometry,dem_0610,Height in inches,"",integer,inches,"","","","",""
Anthropometry,dem_0700,Weight in pounds,"",integer,pounds,"","","","",""
Anthropometry,dem_0800,Body mass index (BMI),"",numeric,"","","","",true,""
Demographics/Acculturation,dem_1100,English as native language,Is English your native language?,choices,"",noyes,"","","",""
Demographics/Acculturation,dem_1120,Participant's proficiency in English,Are you fluent reading/writing in English?,choices,"",noyes,"","","",""
Demographics/Education,sched_0100,Level of school,Please indicate the level of school you are attending,choices,"",educationlvl,"","","",""
Demographics/Education,sched_0200,Days per week in school,How many days per week do you typically attend school? ,integer,"","",work_schedule,"","",""
Demographics/Education,sched_0300,Time School Starts ,What time do you usually start school?,time,time,"",work_schedule,"","",""
Demographics/Education,sched_0301,Time School Starts - Varies,What time do you usually start school? my schedule varies a lot from day to day,choices,"",noyes,work_schedule,"","",""
Demographics/Education,sched_0400,Time School Ends,What time do you usually end school?   ,time,time,"",work_schedule,"","",""
Demographics/Education,sched_0401,Time School Ends - Varies,What time do you usually end school?  my schedule varies a lot from day to day,choices,"",noyes,work_schedule,"","",""
Demographics/Employment,sched_0500,Regular or Irregular Work Schedule,Are your work hours regular or irregular (vary from day-to-day or week-to-week)?,choices,"",regular,work_schedule,"","",""
Demographics/Employment,sched_0510,Do you work a split shift?,Is your shift divided into two or more periods of time with several hours off in between? ,choices,"",noyes,work_schedule,"","",""
Demographics/Employment,sched_0600,Days per week at work,How many days per week do you typically work? ,integer,days per week,"",work_schedule,"","",""
Demographics/Employment,sched_0700,"Self-reported work start time, current shift","Please indicate the start and end times for your work shifts, beginning with your current shift:  ",time,time,"",work_schedule,"","",""
Demographics/Employment,sched_0800,"Self-reported work end time, current shift","Please indicate the start and end times for your work shifts, beginning with your current shift:  ",time,time,"",work_schedule,"","",""
Demographics/Employment,sched_1100,"Self-reported work start time, next shift","Please indicate the start and end times for your work shifts, next work shift",time,time,"",work_schedule,"","",""
Demographics/Employment,sched_1200,"Self-reported work end time, next shift","Please indicate the start and end times for your work shifts, next work shift",time,time,"",work_schedule,"","",""
Demographics/Employment,sched_1500,"Self-reported work start time, 3rd shift","When working these hours, what time do you usually get into bed to sleep?   ",time,time,"",work_schedule,"","",""
Demographics/Employment,sched_1501,"Self-reported work start time, no 3rd shift","",choices,"",noyes,work_schedule,"","",""
Demographics/Employment,sched_1600,"Self-reported work end time, 3rd shift","When working these hours, what time do you usually get out of bed after sleeping?   ",time,time,"",work_schedule,"","",""
Demographics/Employment,sched_2100,How often change work shifts,Please indicate how often you change work shifts,choices,"",weekfreq,work_schedule,"","",""
Demographics/Household Makeup,bthbts_0500,Number of people living in your household,How many people live in your household?,integer,count,"","","","",""
Demographics/Household Makeup,bthbts_0510,Number of children aged 5 years or younger living in your household,How many are children aged 5 years or younger? ,integer,count,"","","","",""
Demographics/Household Makeup,bthbts_0520,Number of children aged 6 - 17 living in your household,How many are children aged 6-17 years?,integer,count,"","","","",""
Demographics/Household Makeup,bthbts_0530,Number of adults aged 18 - 59 living in your household,How many are adults aged 18-59 years?,integer,count,"","","","",""
Demographics/Household Makeup,bthbts_0540,Number of adults aged 60 years of older living in your household,How many are adults aged 60 years or older?,integer,count,"","","","",""
