full_webcnp_(January_2020),Definition,Test,Field Type,Notes
test_sessions.datasetid,Unique DatatsetID,Demographics,integer,
test_sessions.siteid,Site ID,Demographics,string,
test_sessions.famid,Family ID,Demographics,string,
test_sessions.subid,Subject ID,Demographics,string,
test_sessions_v.localid,Local ID ,Demographics,string,
test_sessions_v.battery,Name of Test Battery,Demographics,string,
test_sessions_v.battery_complete,Battery Completed Flag (1=yes),Demographics,string,
test_sessions_v.dotest,Date of Test,Demographics,date / time (timestamp),
test_sessions_v.gender,Gender,Demographics,string,M | F
test_sessions_v.handedness,Handedness,Demographics,string,R | L | B
test_sessions_v.lab_notes,Comments entered by RA,Demographics,string,
test_sessions_v.admin_comments,Comments entered by Administrator during assessment,Demographics,string,
test_sessions_v.session,Number of login sessions to complete battery,Demographics,integer,
PVTB.test,Test Name,PVT-B,string,PVT-B
PVTB.ScorVers,Current Programming Version of the Scoring Code,PVT-B,float,
PVTB.skipped,Test Skipped Flag (1=yes),PVT-B,integer,1 | Null
PVTB.starttime,Test Start Time,PVT-B,date / time (timestamp),
PVTB.endtime,Test End Time,PVT-B,date / time (timestamp),
PVTB.status,Test Status Code (assigned by assessor),PVT-B,string,C1 | C2 | C3 | I1 | I2 | I3 | T | C | I
PVTB.valid_code,Test Automted Validation Code,PVT-B,string,
PVTB.validator,Validator,PVT-B,string,
PVTB.valid_ts,Validation Time Stamp,PVT-B,date / time (timestamp),
PVTB.comment,Test Status Comment (entered by assessor),PVT-B,string,
PVTB.PVT-B,PVTB Short Name,PVT-B,string,
PVTB.PVTB_CR,Total Number of Valid Responses,PVT-B,integer,0-200
PVTB.PVTB_PC,Percent of Valid Scores,PVT-B,float,0-100.00
PVTB.PVTB_MIN_RT,Fastest Response Time (ms),PVT-B,float,
PVTB.PVTB_MAX_RT,Slowest Response Time (ms),PVT-B,float,
PVTB.PVTB_MED_RT,Median Response Time (ms),PVT-B,float,
PVTB.PVTB_MEAN_RT,Mean Response Time (ms),PVT-B,float,
PVTB.PVTB_STDEV_RT,Standard Deviation Response Time (ms),PVT-B,float,
PVTB.PVTB_MEAN_RRT,Mean of Reciprocal Response Time (1000/ms)),PVT-B,float,
