feature,importance
body_mass_index_(bmi)__dem_0800,0.020047188241173085
weight_in_pounds__dem_0700,0.01801003110528813
participants_age__modified_dem_0110,0.014708893423897142
height_in_inches__dem_0610,0.013633930466685025
rmeq_total_score__cir_0700,0.011223021884367303
map_score__score,0.011048418604425432
epworth_sleepiness_scale_total_score__ess_0900,0.010216727547943347
latency_non_sch_non_work_nights__sched_3700,0.009922748713468014
nose_total_score__nose_0600,0.009817045384227547
wake_hrs_non_sch_non_work_nights__sched_3900,0.009361221520036966
total_slp_duration_sch_work_nights__sched_2300,0.009347146578114128
wake_hrs_sch_work_nights__sched_2500,0.009231091188810058
fatigue_severity_scale_total_score__fss_1000,0.00898044837279951
insomnia_severity_index_total_score__isi_score,0.008830038092071314
latency_sch_work_nights__sched_2200,0.008673905474963379
patient_health_questionnaire_9_total_score__phq_1000,0.008282310578767783
map_index_1_apnea_score__index_1,0.0076492994395105105
number_of_full_siblings_from_the_same_birth_parents__famhx_1300,0.007538641343723007
total_slp_duration_non_sch_non_work_nights__sched_3800,0.007471871762625848
percentage_of_lunch_among_all_food_intake_over_24_hours__diet_0310,0.007386945734083037
frequency_of_eat/drink_in_sleep_number_of_times__par_0300,0.007379269351234142
fatigue_severity_scale_i_am_easily_fatigued__fss_0300,0.007262989722490778
percentage_of_dinner_among_all_food_intake_over_24_hours__diet_0320,0.00703741350609778
multiple_awakenings_number__isq_0310,0.006929529813803694
difficulty_falling_asleep_number_of_times__isq_0110,0.0069181465385735105
feeling_that_sleep_is_not_sound_number__isq_0410,0.006865567197126055
num_awakens_non_sch_non_work_nights__sched_3900,0.006783041922093692
number_of_people_living_in_your_household__bthbts_0500,0.006751012292820521
generalized_anxiety_disorder-7_questionnaire_total_score__gad_0800,0.0065699205723212415
functional_outcomes_of_sleep_summary_score__fosq_1100,0.006477767570167671
cigarette_smoking_age_started__soclhx_1200,0.006473956048369035
cigarette_smoking_number_of_cigarettes__soclhx_1300,0.0063235671315361106
loud_snoring__map_0100,0.006195890021366419
fatigue_severity_scale_motivation_is_lower_when_fatigued__fss_0100,0.006049464076314692
insomnia_severity_index_how_satisfied_with_current_sleep_pattern__isi_0400,0.005942822268800817
horne-ostberg_morningness-eveningness_questionnaire_ideal_scheduled_wake_time__cir_0200,0.005846455017979369
percentage_of_breakfast_among_all_food_intake_over_24_hours__diet_0300,0.005835485483853293
nasal_congestion_or_stuffiness__nose_0100,0.005733277855085856
difficulty_staying_asleep_number__isq_0210,0.005727961351486724
difficulty_staying_awake_during_the_day_number_of_times__slpy_0100,0.0057272956995144545
amt_slp_fully_rested__sched_4200,0.005606734633465465
caffeine_consumption_number_of_servings_per_day__soclhx_0900,0.005562059076589324
fatigue_severity_scale_exercise_brings_on_fatigue__fss_0200,0.005553662855912349
map_index_3_excessive_daytime_sleepiness_(eds)_score__index_3,0.00539838304700627
fatigue_severity_scale_my_fatigue_prevents_sustained_physical_functioning__fss_0600,0.005391821412674026
usual_nap_duration__soclhx_0200,0.005389610488293196
fatigue_severity_scale_fatigue_is_among_my_three_most_disabling_symptoms__fss_0800,0.005387427092295944
frequency_of_leg_twitch/kick_number_of_times__par_0100,0.005361507619117324
trouble_sleeping__nose_0400,0.005340157529569717
"horne-ostberg_morningness-eveningness_questionnaire_time_of_day_reaching_""feeling_best""_peak__cir_0500",0.005270841101457265
number_of_children_aged_6_17_living_in_your_household__bthbts_0520,0.0052460202137248335
self-reported_frequency_of_napping__soclhx_0100,0.005212783753500508
slp_quality_non_sch_non_work_nights__sched_4100,0.0051403437419332435
percentage_of_snack_1_among_all_food_intake_over_24_hours__diet_0330,0.005138209458963832
heartburn_or_belching_after_going_to_bed_days_per_week__osa_0100,0.0050921457641345804
feeling_that_sleep_is_not_sound__isq_0400,0.005032540223466905
frequent_tossing_turning_thrashing__map_0500,0.005018319608026589
difficulty_falling_asleep__isq_0100,0.004960171122572825
insomnia_severity_index_how_worried/distressed_about_current_sleep_problem__isi_0600,0.004845377844337876
num_awakens_sch_work_nights__sched_24000,0.004845211686166991
trouble_breathing_through_nose__nose_0300,0.00479510449206081
insomnia_severity_index_difficulty_falling_asleep__isi_0100,0.004755801204502242
fatigue_severity_scale_fatigue_interferes_with_physical_functioning__fss_0400,0.004713660280794772
sleep_attacks_number_of_times__slpy_0200,0.00471051933637677
trivial_things_of_no_importance__tab_0100,0.00470590889062731
snorting_gasping__map_0300,0.0046915866614401945
epworth_sleepiness_scale_chance_of_dozing_while_watching_tv__ess_0200,0.00466551969490486
dry_and/or_irritated_eyes__osa_0300,0.004640481681297348
excessive_sleepiness__map_0700,0.004561432937066729
frequent_wakenings__map_0200,0.004557562506728107
days_per_week_in_school_or_work__sched_9900,0.004533611884818503
cigarette_smoking_age_stopped__soclhx_1400,0.004531676304178959
feeling_that_sleep_is_unrefreshing__number__isq_0510,0.004506660792894849
morning_headache__map_0800,0.004436385365219161
insomnia_severity_index_problems_waking_up_too_early__isi_0300,0.004428093843326889
epworth_sleepiness_scale_chance_of_dozing_while_sitting_and_reading__ess_0100,0.004416186318860739
what_happened_today_and_what_you_have_to_do_tomorrow__tab_0200,0.004365758641195285
fatigue_severity_scale_fatigue_interferes_with_carrying_out_certain_duties_and_responsibilities__fss_0700,0.004305220173412675
perspire_heavily_during_the_night_days_per_week__osa_0200,0.004268666447775676
breathing_stops__map_0600,0.00425047333622398
horne-ostberg_morningness-eveningness_questionnaire_time_of_evening_you_need_sleep__cir_0400,0.0042444002789425875
feeling_that_sleep_is_unrefreshing__isq_0500,0.004217646130742278
frequency_of_nightmares_times__par_0700,0.004216530635379853
how_long_youve_been_lying_awake__tab_0300,0.004184569073182987
fatigue_severity_scale_fatigue_interferes_with_my_work_family_or_social_life__fss_0900,0.004162392348275632
horne-ostberg_morningness-eveningness_questionnaire_morning_or_evening_type__cir_0600,0.004147038195160811
fatigue_severity_scale_fatigue_causes_frequent_problems_for_me__fss_0500,0.00411175332342335
sleep_made_you_irritable__isq_1000,0.004097498810121816
remember_dreams_times__par_0900,0.004080717431217086
insomnia_severity_index_difficulty_staying_asleep__isi_0200,0.004067813250376482
slp_quality_sch_work_nights__sched_2600,0.004051370388185192
frequency_of_teeth_grinding__par_0400,0.004019381938044873
how_out_of_control_your_sleep_is_and_you_dont_know_what_to_do_about_it__tab_0800,0.0039942611820987
exercise_time_of_day__soclhx_0600,0.003991651785051364
patient_health_questionnaire_9_trouble_falling_or_staying_asleep_or_sleeping_too_much__phq_0300,0.003957496579415055
sleep_affected_other_important_parts_of_life__isq_0900,0.0039272920975260564
multiple_awakenings__isq_0300,0.003899345665008519
functional_outcomes_of_sleep_difficulty_watching_a_movie__fosq_0700,0.003896014811851883
feeling_refreshed_after_nap__soclhx_0300,0.0038718104406837133
number_of_adults_aged_18_59_living_in_your_household__bthbts_0530,0.003774674667937497
how_much_does_your_sleep_bother_you__isq_0600,0.003733857240703026
